Package;Indegree_01;Outdegree_01;Indegree_02;Outdegree_02;Indegree_03;Outdegree_03;Indegree_04;Outdegree_04;Indegree_05;Outdegree_05;Indegree_06;Outdegree_06;Indegree_07;Outdegree_07;Indegree_08;Outdegree_08;Indegree_09;Outdegree_09;Indegree_10;Outdegree_10;Indegree_11;Outdegree_11;Indegree_12;Outdegree_12;Indegree_13;Outdegree_13;Indegree_14;Outdegree_14;Indegree_15;Outdegree_15;Indegree_16;Outdegree_16;Indegree_17;Outdegree_17;Indegree_18;Outdegree_18;Indegree_19;Outdegree_19;Indegree_20;Outdegree_20;Indegree_21;Outdegree_21;Indegree_22;Outdegree_22;Indegree_23;Outdegree_23;Indegree_24;Outdegree_24;Indegree_25;Outdegree_25;Indegree_26;Outdegree_26;Indegree_27;Outdegree_27;Indegree_28;Outdegree_28;Indegree_29;Outdegree_29;Indegree_30;Outdegree_30;Indegree_31;Outdegree_31;Indegree_32;Outdegree_32;Indegree_33;Outdegree_33;Indegree_34;Outdegree_34;Indegree_35;Outdegree_35;Indegree_36;Outdegree_36;Indegree_37;Outdegree_37;Indegree_38;Outdegree_38;Indegree_39;Outdegree_39
sweetHome3DSwing;0;0;0;0;0;0;0;31;0;0;0;31;0;0;0;0;0;0;0;32;0;31;0;31;0;0;0;31;0;32;0;0;0;32;0;31;0;31;0;0;0;31;0;0;0;0;0;0;0;31;0;32;0;0;0;32;0;32;0;32;0;31;0;32;0;0;0;0;0;31;0;31;0;34;0;35;0;0
sweetHome3DApplication;10;37;10;37;11;37;4;7;11;37;4;7;10;37;10;37;11;37;4;7;4;7;4;7;10;37;4;7;4;7;12;37;4;7;4;7;4;7;11;37;4;7;11;37;12;37;12;37;4;7;4;7;11;37;4;7;4;7;4;7;4;7;4;7;11;37;11;37;4;7;4;7;4;7;4;7;12;41
sweetHome3DApplet;56;8;56;8;56;9;56;2;56;9;56;2;56;8;56;8;56;9;56;2;56;2;56;2;56;8;56;2;56;2;56;10;56;2;56;2;56;2;56;9;56;2;56;9;56;10;56;10;56;2;56;2;56;9;56;2;56;2;56;2;56;2;56;2;56;9;56;9;56;2;56;2;59;2;60;2;60;10
sweetHome3DViewController;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22;0;22
sweetHome3DPlugin;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
sweetHome3DIO;3;2;3;2;3;2;4;2;3;2;4;2;3;2;3;2;3;2;5;2;4;2;4;2;3;2;4;2;5;2;3;2;5;2;4;2;4;2;3;2;4;2;3;2;3;2;3;2;4;2;5;2;3;2;5;2;5;2;5;2;4;2;5;2;3;2;3;2;4;2;4;2;4;2;4;2;3;2
