Class;Co-change-class;Comon-percentage;Common-count;Total(Class)
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Redirector.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/ProcessDestroyer.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/Cab.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/types/resources/AbstractClasspathResource.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/resources/JavaResource.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/ComponentHelper.java;/ant/core/trunk/src/main/org/apache/tools/ant/IntrospectionHelper.java;22.22222222222222;2;9
/ant/core/trunk/src/main/org/apache/tools/ant/ComponentHelper.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Definer.java;22.22222222222222;2;9
/ant/core/trunk/src/main/org/apache/tools/ant/util/WorkerAnt.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/WaitFor.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/util/WorkerAnt.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BlockFor.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/util/WorkerAnt.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BuildTimeoutException.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/util/WorkerAnt.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/Funtest.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Get.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Execute.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;40.0;2;5
/ant/core/trunk/src/main/org/apache/tools/ant/helper/ProjectHelperImpl.java;/ant/core/trunk/src/main/org/apache/tools/ant/helper/ProjectHelper2.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitTaskTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitTaskTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FormatterElement.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/Funtest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/WaitFor.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/Funtest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BlockFor.java;50.0;3;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/Funtest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BuildTimeoutException.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/Funtest.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/WorkerAnt.java;33.33333333333333;2;6
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/XmlProperty.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/launch/Locator.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/rmic/DefaultRmicAdapter.java;25.0;2;8
/ant/core/trunk/src/main/org/apache/tools/ant/launch/Locator.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/launch/LocatorTest.java;25.0;2;8
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/ConditionTask.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Available.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Available.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/ConditionTask.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/net/TelnetTask.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/splash/SplashTask.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/net/TelnetTask.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ssh/SSHExec.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/ManifestTask.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Property.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/ManifestTask.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ManifestTest.java;42.857142857142854;3;7
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Jar.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JarTest.java;37.5;3;8
/ant/core/trunk/src/main/org/apache/tools/ant/util/depend/bcel/DependencyVisitor.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/DOMElementWriter.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/Cab.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ejb/Ejbc.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ejb/DDCreator.java;100.0;3;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ssh/SSHExec.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/net/TelnetTask.java;20.0;2;10
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ssh/SSHExec.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/splash/SplashTask.java;20.0;2;10
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Execute.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Get.java;50.0;2;4
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/ProcessDestroyer.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Redirector.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;9.523809523809524;2;21
/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/TempFile.java;14.285714285714285;3;21
/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ReplaceRegExp.java;9.523809523809524;2;21
/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java;9.523809523809524;2;21
/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java;14.285714285714285;3;21
/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;9.523809523809524;2;21
/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/util/FileUtilsTest.java;9.523809523809524;2;21
/ant/core/trunk/src/main/org/apache/tools/ant/types/optional/depend/ClassfileSet.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/rmic/DefaultRmicAdapter.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/util/regexp/RegexpMatcherFactory.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/regexp/RegexpFactory.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Definer.java;/ant/core/trunk/src/main/org/apache/tools/ant/ComponentHelper.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Definer.java;/ant/core/trunk/src/main/org/apache/tools/ant/IntrospectionHelper.java;100.0;2;2
